Lake_Name,Sample Date,Site ID,Sample Depth (ft),Sample Depth (m),Temp.C,DO (%sat),DO (mg/L),sp.Cond (µs/cm),pH,ORP (mV),Chl a (ug/L),Turbidity
Acton Lake,5/31/2016,U-04,0.31,0.094488,25.95,208,16.87,398,8.83,168.7,20.7,4.4000000000000004
Acton Lake,5/31/2016,U-04,3.105,0.946404,25.29,205.2,16.8,397,8.84,166,26.8,13.9
Acton Lake,5/31/2016,U-04,6.214,1.8940272,23.9,160.5,13.53,416,8.55,169.2,25.6,9.1
Acton Lake,5/31/2016,U-04,9.362,2.8535376,20.09,87.2,7.86,450,8.05,180.8,13.7,8.6
Acton Lake,5/31/2016,U-04,12.46,3.797808,18.24,47.9,4.5,464,7.83,183.8,10.6,4.5
Acton Lake,5/31/2016,U-04,15.531,4.7338488,16.83,14.1,1.35,475,7.67,182.2,7.3,3.5
Acton Lake,5/31/2016,U-04,18.604,5.6704992,16.29,6.7,0.65,480,7.66,172,6.9,3.1
Acton Lake,5/31/2016,U-04,21.105,6.432804,16.07,5.9,0.57,484,7.66,151.5,6.4,3.1
Cowan Lake,6/2/2016,S-04,0.33,0.100584,26.78,212.8,17.09,376,9.01,175.2,15.6,9.3000000000000007
Cowan Lake,6/2/2016,S-04,3.149,0.9598152,24.5,178.2,14.8,386,8.79,181,14.3,9.6999999999999993
Cowan Lake,6/2/2016,S-04,6.269,1.9107912,23.25,127.6,10.87,398,8.46,189.3,11.8,11.9
Cowan Lake,6/2/2016,S-04,9.277,2.8276296,19.84,47.4,4.31,384,7.85,198.1,8.2,18.7
Cowan Lake,6/2/2016,S-04,12.459,3.7975032,17.6,43.9,4.19,422,7.79,202.6,5.4,8.9
Cowan Lake,6/2/2016,S-04,15.566,4.7445168,16.31,30.3,2.96,426,7.72,204.1,4.6,6.6
Cowan Lake,6/2/2016,S-04,18.668,5.6900064,15.41,14,1.37,426,7.63,204.8,5.8,5.8
Cowan Lake,6/2/2016,S-04,21.788,6.6409824,14.82,6.8,0.67,427,7.6,204.2,4.7,5.6
Cowan Lake,6/2/2016,S-04,24.808,7.5614784,13.6,5.8,0.6,429,7.54,194.5,6.2,5.3
Alum Creek Lake,6/7/2016,SU-04,0.36,0.109728,22.87,98.2,8.42,348,8.29,198.9,4.7,1.5
Alum Creek Lake,6/7/2016,SU-04,3.132,0.9546336,22.9,96.7,8.3,348,8.28,198.3,3.9,1.5
Alum Creek Lake,6/7/2016,SU-04,6.241,1.9022568,22.9,96.3,8.27,348,8.28,198.2,2.9,1.5
Alum Creek Lake,6/7/2016,SU-04,9.35,2.84988,22.7,96.1,8.26,348,8.27,198.3,4.5,1.5
Alum Creek Lake,6/7/2016,SU-04,12.582,3.8349936,22.33,96.2,8.35,348,8.23,198.8,4.2,1.5
Alum Creek Lake,6/7/2016,SU-04,15.726,4.7932848,22.31,96.2,8.35,348,8.23,199,3.5,1.8
Alum Creek Lake,6/7/2016,SU-04,18.884,5.7558432,17.7,84.7,8.04,346,7.96,204,3.2,1.9
Alum Creek Lake,6/7/2016,SU-04,21.967,6.6955416,17.77,67.1,6.76,346,7.67,210.6,3.3,0.8
Alum Creek Lake,6/7/2016,SU-04,25.147,7.6648056,13.87,57.1,5.88,347,7.6,211.7,3.6,0.8
Alum Creek Lake,6/7/2016,SU-04,28.232,8.6051136,12.93,55.9,8.92,348,7.52,213.1,3.4,0.8
Alum Creek Lake,6/7/2016,SU-04,31.148,9.4939104,12.08,43.7,4.69,347,7.49,213.6,3.6,1
Alum Creek Lake,6/7/2016,SU-04,34.58,10.539984,11.94,41.6,4.48,347,7.47,214.2,3.7,1
Alum Creek Lake,6/7/2016,SU-04,37.701,11.4912648,11.58,40.4,4.36,348,7.46,214.7,3.5,0.9
Alum Creek Lake,6/7/2016,SU-04,40.908,12.4687584,11.77,38.7,4.18,348,7.44,215.1,3.5,1.1000000000000001
Alum Creek Lake,6/7/2016,SU-04,43.372,13.2197856,11.72,37.2,4.02,348,7.44,215.1,4.1,1.1000000000000001
Delaware Reservoir,6/8/2016,S-08,0.385,0.117348,23.85,115.7,9.76,426,8.58,199.3,23.4,17.8
Delaware Reservoir,6/8/2016,S-08,3.111,0.9482328,23.81,114.6,9.64,426,8.54,197.2,23.6,18
Delaware Reservoir,6/8/2016,S-08,6.225,1.89738,23.79,112.8,9.52,426,8.53,195.7,23.1,18
