date,waterbody,site,field_dups,variable,units,value,notes,flag
2020-07-06,238,8,blank,microcystin,mg/L,0.057,NA,below detection limit; below reporting limit
2020-07-06,238,8,unknown,microcystin,mg/L,0.043,NA,below detection limit; below reporting limit
2020-07-09,287,13,unknown,microcystin,mg/L,0.022,NA,below detection limit; below reporting limit
2020-07-12,265,2,duplicate,microcystin,mg/L,0.044,NA,below detection limit; below reporting limit
2020-07-12,265,2,unknown,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2020-07-28,54,5,unknown,microcystin,mg/L,0.276,NA,NA
2020-07-29,211,14,blank,microcystin,mg/L,0.049,NA,below detection limit; below reporting limit
2020-07-29,211,14,duplicate,microcystin,mg/L,0.149,NA,below reporting limit
2020-07-29,211,14,unknown,microcystin,mg/L,0.116,NA,below reporting limit
2020-07-29,249,6,blank,microcystin,mg/L,0.02,NA,below detection limit; below reporting limit
2020-07-29,249,6,duplicate,microcystin,mg/L,0.051,NA,below detection limit; below reporting limit
2020-07-29,249,6,unknown,microcystin,mg/L,0.082,NA,below detection limit; below reporting limit
2020-08-10,83,18,blank,microcystin,mg/L,0.054,NA,below detection limit; below reporting limit
2020-08-10,83,18,duplicate,microcystin,mg/L,0.029,NA,below detection limit; below reporting limit
2020-08-10,83,18,unknown,microcystin,mg/L,0.056,NA,below detection limit; below reporting limit
2020-08-12,209,14,unknown,microcystin,mg/L,0.11,NA,below reporting limit
2020-08-19,116,11,blank,microcystin,mg/L,0.027,NA,below detection limit; below reporting limit
2020-08-19,116,11,duplicate,microcystin,mg/L,0.051,NA,below detection limit; below reporting limit
2020-08-19,116,11,unknown,microcystin,mg/L,0.054,NA,below detection limit; below reporting limit
2020-08-20,101,15,unknown,microcystin,mg/L,0.005,NA,below detection limit; below reporting limit
2020-09-02,102,3,unknown,microcystin,mg/L,0.029,NA,below detection limit; below reporting limit
2020-08-25,210,5,blank,microcystin,mg/L,0.456,NA,NA
2020-08-25,210,5,duplicate,microcystin,mg/L,6.4,4x dilution,NA
2020-08-25,210,5,unknown,microcystin,mg/L,5.46,4x dilution,NA
2020-08-27,205,7,unknown,microcystin,mg/L,0.113,NA,below reporting limit
2020-09-01,98,11,unknown,microcystin,mg/L,0.009,NA,below detection limit; below reporting limit
2020-09-01,234,20,unknown,microcystin,mg/L,0.08,NA,below detection limit; below reporting limit
2020-09-03,44,7,unknown,microcystin,mg/L,0.061,NA,below detection limit; below reporting limit
2020-09-03,235,3,duplicate,microcystin,mg/L,0.712,NA,NA
2020-09-03,235,3,unknown,microcystin,mg/L,0.38,NA,NA
2020-09-04,138,11,blank,microcystin,mg/L,0.021,NA,below detection limit; below reporting limit
2020-09-04,138,11,duplicate,microcystin,mg/L,0.018,NA,below detection limit; below reporting limit
2020-09-09,191,13,blank,microcystin,mg/L,0.054,NA,below detection limit; below reporting limit
2020-09-09,191,13,duplicate,microcystin,mg/L,0.06,NA,below detection limit; below reporting limit
2020-09-09,191,13,unknown,microcystin,mg/L,0.071,NA,below detection limit; below reporting limit
2020-09-12,207,25,unknown,microcystin,mg/L,0.224,NA,NA
2020-09-12,208,1,unknown,microcystin,mg/L,0.072,NA,below detection limit; below reporting limit
2021-06-01,233,18,blank,microcystin,mg/L,0.042,NA,below detection limit; below reporting limit
2021-06-01,233,18,duplicate,microcystin,mg/L,0.035,NA,below detection limit; below reporting limit
2021-06-01,233,18,unknown,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2021-06-03,237,15,unknown,microcystin,mg/L,0.081,NA,below detection limit; below reporting limit
2021-06-04,236,7,unknown,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2023-08-01,14,9,unknown,microcystin,mg/L,0,"original id wrong, updated from sample tracking",below detection limit; below reporting limit
2021-06-14,155,25,blank,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2021-06-14,155,25,duplicate,microcystin,mg/L,0.013,NA,below detection limit; below reporting limit
2021-06-14,155,25,unknown,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2021-06-16,275,12,blank,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2021-06-16,275,12,duplicate,microcystin,mg/L,0.188,NA,NA
2021-06-16,275,12,unknown,microcystin,mg/L,0.192,NA,NA
2021-06-17,240,1,unknown,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2021-06-22,69,12_trans,unknown,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2021-06-24,69,4_lac,unknown,microcystin,mg/L,0.025,NA,below detection limit; below reporting limit
2021-06-25,70,6_lac,blank,microcystin,mg/L,0.002,NA,below detection limit; below reporting limit
2021-06-25,70,6_lac,duplicate,microcystin,mg/L,0.003,NA,below detection limit; below reporting limit
2021-06-25,70,6_lac,unknown,microcystin,mg/L,0.001,NA,below detection limit; below reporting limit
2021-06-29,70,6_riv,unknown,microcystin,mg/L,0.009,NA,below detection limit; below reporting limit
2021-06-29,288,10,blank,microcystin,mg/L,0.071,NA,below detection limit; below reporting limit
2021-06-29,288,10,duplicate,microcystin,mg/L,0.038,NA,below detection limit; below reporting limit
2021-06-29,288,10,unknown,microcystin,mg/L,0.033,NA,below detection limit; below reporting limit
2021-06-30,316,03,unknown,microcystin,mg/L,0.089,NA,below detection limit; below reporting limit
2021-07-07,79,12,unknown,microcystin,mg/L,1.197,NA,NA
2021-07-08,298,1,blank,microcystin,mg/L,0.007,NA,below detection limit; below reporting limit
2021-07-08,298,1,duplicate,microcystin,mg/L,0.052,NA,below detection limit; below reporting limit
2021-07-08,298,1,unknown,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2021-07-09,75,8,blank,microcystin,mg/L,0,NA,below detection limit; below reporting limit
2021-07-09,75,8,duplicate,microcystin,mg/L,0.715,NA,NA
2021-07-09,75,8,unknown,microcystin,mg/L,1.47,NA,NA
2021-07-10,326,5,unknown,microcystin,mg/L,0.226,NA,NA
2021-07-11,327,5,unknown,microcystin,mg/L,0.1,NA,below reporting limit
2021-07-12,70,7,unknown,microcystin,mg/L,0.016,"lac, riv, or trans?",below detection limit; below reporting limit
2021-07-13,69,7,unknown,microcystin,mg/L,0.027,NA,below detection limit; below reporting limit
2021-07-13,231,24,unknown,microcystin,mg/L,1.928,NA,NA
2021-07-14,147,1,blank,microcystin,mg/L,0,NA,below detection limit; below reporting limit
