name,analyte_group,mdl,ql,lab,units,preservative,filtered,holding_time,year
br,anions,0.02,0.05,CIN,mg_l,Stored at 4oC,Y,28 days,2021
br,anions,0.008,0.05,CIN,mg_l,Stored at 4oC,Y,28 days,2022
br,anions,0.008,0.05,CIN,mg_l,Stored at 4oC,Y,28 days,2023
cl,anions,0.03,0.4597,CIN,mg_l,Stored at 4oC,Y,28 days,2021
cl,anions,0.03,0.5,CIN,mg_l,Stored at 4oC,Y,28 days,2022
cl,anions,0.03,0.5,CIN,mg_l,Stored at 4oC,Y,28 days,2023
f,anions,0.005,0.05,CIN,mg_l,Stored at 4oC,Y,28 days,2021
f,anions,0.007,0.05,CIN,mg_l,Stored at 4oC,Y,28 days,2022
br,anions,0.041,0.1,ADA,mg_l,Stored at 4oC,Y,28 days,2021
f,anions,0.007,0.05,CIN,mg_l,Stored at 4oC,Y,28 days,2023
cl,anions,0.026,0.5,ADA,mg_l,Stored at 4oC,Y,28 days,2021
so4,anions,0.025,0.423,CIN,mg_l,Stored at 4oC,Y,28 days,2021
f,anions,0.014,0.1,ADA,mg_l,Stored at 4oC,Y,28 days,2021
so4,anions,0.05,0.5,CIN,mg_l,Stored at 4oC,Y,28 days,2022
so4,anions,0.151,0.5,ADA,mg_l,Stored at 4oC,Y,28 days,2021
so4,anions,0.05,0.5,CIN,mg_l,Stored at 4oC,Y,28 days,2023
br,anions,0.034,0.1,ADA,mg_l,Stored at 4oC,Y,28 days,2022
cl,anions,0.068,0.5,ADA,mg_l,Stored at 4oC,Y,28 days,2022
f,anions,0.035,0.1,ADA,mg_l,Stored at 4oC,Y,28 days,2022
so4,anions,0.022,0.5,ADA,mg_l,Stored at 4oC,Y,28 days,2022
br,anions,0.013,0.1,ADA,mg_l,Stored at 4oC,Y,28 days,2023
cl,anions,0.015,0.5,ADA,mg_l,Stored at 4oC,Y,28 days,2023
f,anions,0.011,0.1,ADA,mg_l,Stored at 4oC,Y,28 days,2023
so4,anions,0.022,0.5,ADA,mg_l,Stored at 4oC,Y,28 days,2023
