lake_name,Value,Variable,LakeVarID,Variable_Name,MEAN_JAN,MEAN_FEB,MEAN_MAR,MEAN_APRIL,MEAN_MAY,MEAN_JUNE,MEAN_JULY,MEAN_AUG,MEAN_SEPT,MEAN_OCT,MEAN_NOV,MEAN_DEC,STD_JAN,STD_FEB,STD_MAR,STD_APRIL,STD_MAY,STD_JUNE,STD_JULY,STD_AUG,STD_SEPT,STD_OCT,STD_NOV,STD_DEC
French Creek,1,2T@SFC,1 2T@SFC,2m Temp,281.847778320312500,284.384520097212373,287.814208984375000,291.292562311345876,296.035891446200310,299.897986672141315,301.060754949396312,300.916208440607249,299.096901633522748,293.889201771129251,286.798700506036937,284.403103915127815,2.608500921385782,2.773609310534719,1.898337977402438,1.231018871685791,1.151808999147098,1.035098841147598,1.015846603384102,0.939654813314783,1.457721422628993,1.103647589236975,2.015620995072913,1.865528080352086
Arkabutla,2,2T@SFC,2 2T@SFC,2m Temp,278.851524226807044,280.484310014511721,285.102429992713610,289.418847137458215,294.541129265405402,299.079224048558899,300.671374821336371,300.030416001986396,297.800469351802576,291.797533887871339,284.367144891656437,281.474337016525851,2.384543348885668,3.055315355045684,1.964046282160804,1.343140502621873,1.256543450300372,0.836467088464865,1.206359986056165,0.636516524252598,1.243028409023048,1.092915434290584,2.167197554312113,2.233651472756552
Lake O' the Pines,3,2T@SFC,3 2T@SFC,2m Temp,281.507413284375048,283.056860215156235,287.580306354201525,291.112337028132913,295.766885336135545,300.128079262167887,302.277464114295128,302.253456623929083,299.502779781416336,293.551451358323789,286.632805591298506,283.609741328487530,1.879230840164121,2.480962257263001,1.850319170632683,1.156976368632176,1.339672478598633,1.085379296860387,1.296990491264308,1.527815408124233,1.208161285704754,1.160003442353418,1.999668036843455,2.127293365641614
Cotile Lake,4,2T@SFC,4 2T@SFC,2m Temp,283.095233383170296,285.146845679742967,289.047090456952390,292.084021608795808,296.509232081374648,300.108883880605219,301.501120690441041,301.556195794317205,299.502860167689221,294.488003453215413,287.867589600117981,285.306173351982579,2.283326126738646,2.599032725295892,1.882574242138651,1.086774900507770,1.392556922314410,1.192511804537557,1.080059543056990,1.519436574661955,1.165860999293187,0.989013437872524,1.896991394442206,1.951078204024494
okeheelee,10,2T@SFC,10 2T@SFC,2m Temp,292.784212979403435,294.263603904030560,295.123335404829561,297.089969981800436,298.305600253018440,299.771921331232249,300.548325972123564,300.683076338334502,299.899813565340935,298.421517112038373,296.090071244673311,294.389254483309685,0.960705653814408,1.340297985771483,1.369282210958586,0.776528490345461,0.529291049501414,0.370420075522810,0.507376541449463,0.314384686335080,0.289570976409955,0.574118871514643,1.005495096511382,1.246989941460009
Lake Jacksonville,11,2T@SFC,11 2T@SFC,2m Temp,282.287761407219648,283.858906295735835,288.242757734121710,291.594807182381487,296.023002650629905,300.133740028137652,302.305650864141967,302.468414463351451,299.672930497276241,294.083667502168964,287.339086850606122,284.347525922489524,1.838812443813866,2.412523871161883,1.869270558485143,1.106751203110536,1.266665271301023,1.210802975280977,1.387392224423024,1.412446273526048,1.244377719008260,1.028641054286458,2.129516617467157,2.118411235047943
Concord Pond,13,2T@SFC,13 2T@SFC,2m Temp,275.840143377130687,277.445599642666878,280.501708984375000,286.457512595436810,291.415685480291188,296.203206842595876,299.094313188032686,297.909106167879997,295.047008167613626,289.643108021129251,282.702287153764189,279.223416415127815,2.267713969864703,2.882290434146357,2.241058168221347,1.494330333844713,1.519950178766682,0.623910888736305,0.730218851347726,1.065690804421828,0.909023848759035,1.082516310352470,1.582675700566510,2.097122838857794
Johnson Family Boating Lake,14,2T@SFC,14 2T@SFC,2m Temp,282.347068093039752,284.692758733575999,288.330189098011374,291.431056629527689,295.893313321200310,299.767837524414062,300.983340176669060,300.838083440607249,299.038307883522748,293.990941827947438,287.084389426491498,284.813260165127815,2.482904672939407,2.798403582972559,1.981642490333769,1.109274275027190,1.278350293343829,1.096897583098291,1.212627513545492,1.518570857229186,1.385628200376754,0.922009857980727,1.883452289433480,1.946447851048631
jolly pond,16,2T@SFC,16 2T@SFC,2m Temp,277.459816672585248,279.316870949485065,282.287220348011374,287.954671686345876,292.645444003018440,297.034882978959502,299.522935347123564,298.324589122425436,295.728293678977252,290.333804043856560,283.518870960582376,280.431513006036937,2.112038788158040,2.914716253886146,2.328530798132872,1.316766964907668,1.648095624152862,0.670182343437550,0.824253359552788,1.001387269670714,1.006545363040317,1.103936164226331,1.518452019763891,2.052334574104554
Blue Lake,17,2T@SFC,17 2T@SFC,2m Temp,293.010007887619736,294.534440879555234,295.369669539445283,297.309290895261938,298.442633142003956,299.834361235079086,300.587639783312113,300.738168121551382,299.914198399256975,298.502608676723469,296.210793491177185,294.581977385407527,0.989700498045264,1.357787929929411,1.379248820352496,0.816780016548808,0.536210416820205,0.440347111375456,0.503013400914704,0.322464648115826,0.317002293918151,0.592452268784424,1.014180712908387,1.226210767137687
