lake_name,lake_id,nid_id,join_id_name,join_id
Lake O' the Pines,3,NA,nla17_site_id,NLA17_TX-10007
Lake O' the Pines,3,NA,nla12_site_id,NLA12_TX-113
Lake O' the Pines,3,NA,nla07_site_id,NLA06608-1560
Lake O' the Pines,3,NA,lmorpho_comid,1010832
Lake O' the Pines,3,NA,lmorpho_nla07,NLA06608-1560
Lake O' the Pines,3,NA,nhdplus_comid,1010832
Lake O' the Pines,3,NA,gnis_id,1375468
Lake O' the Pines,3,NA,comid_match_lagoslakeid,405739
Lake O' the Pines,3,NA,poly_intersect_lagoslakeid,405739
Lake O' the Pines,3,NA,hylak_comid,1010832
Lake O' the Pines,3,NA,hylak_id,9462
Lake O' the Pines,3,NA,grand_id,1186
Lake O' the Pines,3,NA,nhdplus_comid,1010928
Lake O' the Pines,3,NA,lmorpho_comid,1010928
Cotile Lake,4,LA00031,nla17_site_id,NLA17_LA-10002
Cotile Lake,4,LA00031,nla12_site_id,NLA12_LA-105
Cotile Lake,4,LA00031,nla07_site_id,NLA06608-2823
Cotile Lake,4,LA00031,lmorpho_comid,19918180
Cotile Lake,4,LA00031,lmorpho_nla07,NLA06608-2823
Cotile Lake,4,LA00031,nhdplus_comid,19918180
Cotile Lake,4,LA00031,gnis_id,554093
Cotile Lake,4,LA00031,comid_match_lagoslakeid,405745
Cotile Lake,4,LA00031,poly_intersect_lagoslakeid,405745
Cotile Lake,4,LA00031,hylak_comid,19918180
Cotile Lake,4,LA00031,hylak_id,113773
Cotile Lake,4,LA00031,grand_id,1265
Lake Jacksonville,11,TX00583,nla17_site_id,NLA17_TX-10010
Lake Jacksonville,11,TX00583,nla12_site_id,NLA12_TX-137
Lake Jacksonville,11,TX00583,nla07_site_id,NLA06608-TX:19
Lake Jacksonville,11,TX00583,lmorpho_comid,4452402
Lake Jacksonville,11,TX00583,lmorpho_nla07,NLA06608-TX:19
Lake Jacksonville,11,TX00583,nhdplus_comid,4452402
Lake Jacksonville,11,TX00583,gnis_id,1855387
Lake Jacksonville,11,TX00583,comid_match_lagoslakeid,415369
Lake Jacksonville,11,TX00583,poly_intersect_lagoslakeid,415369
Lake Jacksonville,11,TX00583,hylak_comid,4452402
Lake Jacksonville,11,TX00583,hylak_id,113707
Lake Jacksonville,11,TX00583,grand_id,1241
Crooked Creek Reservoir,18,LA00046,nla17_site_id,NLA17_LA-10006
Crooked Creek Reservoir,18,LA00046,nla12_site_id,NLA12_LA-152
Crooked Creek Reservoir,18,LA00046,lmorpho_comid,15138463
Crooked Creek Reservoir,18,LA00046,nhdplus_comid,15138463
Crooked Creek Reservoir,18,LA00046,gnis_id,556751
Crooked Creek Reservoir,18,LA00046,comid_match_lagoslakeid,303903
Crooked Creek Reservoir,18,LA00046,poly_intersect_lagoslakeid,303903
Crooked Creek Reservoir,18,LA00046,hylak_comid,15138463
Crooked Creek Reservoir,18,LA00046,hylak_id,113825
Lake Hamilton,99,AR00534,nla17_site_id,NLA17_AR-10002
Lake Hamilton,99,AR00534,nla22_site_id,NES22-10107
Lake Hamilton,99,AR00534,nla12_site_id,NLA12_AR-103
Lake Hamilton,99,AR00534,nla07_site_id,NLA06608-1204
Lake Hamilton,99,AR00534,lmorpho_comid,15232080
Lake Hamilton,99,AR00534,lmorpho_nla07,NLA06608-1204
Lake Hamilton,99,AR00534,nhdplus_comid,167794922
Lake Hamilton,99,AR00534,comid_match_lagoslakeid,292666
Lake Hamilton,99,AR00534,hylak_comid,167794922
Lake Hamilton,99,AR00534,hylak_id,9387
Lake Hamilton,99,AR00534,grand_id,1116
Lake Hanna,100,MO30314,nla17_site_id,NLA17_MO-10005
Lake Hanna,100,MO30314,nla12_site_id,NLA12_MO-104
Lake Hanna,100,MO30314,lmorpho_comid,729879
Lake Hanna,100,MO30314,lmorpho_nla07,NLA06608-0224
Lake Hanna,100,MO30314,nhdplus_comid,729879
Lake Hanna,100,MO30314,comid_match_lagoslakeid,28694
Lake Hanna,100,MO30314,poly_intersect_lagoslakeid,28694
Lake Hanna,100,MO30314,hylak_comid,729879
Lake Hanna,100,MO30314,hylak_id,1058745
Arrow Head Lake,136,NA,nla17_site_id,NLA17_MO-10006
Arrow Head Lake,136,NA,nla12_site_id,NLA12_MO-108
Arrow Head Lake,136,NA,lmorpho_comid,7557711
Arrow Head Lake,136,NA,nhdplus_comid,7557711
Arrow Head Lake,136,NA,gnis_id,763685
Arrow Head Lake,136,NA,comid_match_lagoslakeid,54020
Arrow Head Lake,136,NA,poly_intersect_lagoslakeid,54020
Arrow Head Lake,136,NA,hylak_comid,7557711
Arrow Head Lake,136,NA,hylak_id,1059628
Canton Lake,146,OK10316,nla17_site_id,NLA17_OK-10007
Canton Lake,146,OK10316,nla12_site_id,NLA12_OK-106
Canton Lake,146,OK10316,nla07_site_id,NLA06608-4056
Canton Lake,146,OK10316,lmorpho_comid,389774
Canton Lake,146,OK10316,lmorpho_nla07,NLA06608-4056
Canton Lake,146,OK10316,nhdplus_comid,389774
Canton Lake,146,OK10316,gnis_id,1751417
Canton Lake,146,OK10316,comid_match_lagoslakeid,390029
Canton Lake,146,OK10316,poly_intersect_lagoslakeid,390029
Canton Lake,146,OK10316,hylak_comid,389774
Canton Lake,146,OK10316,hylak_id,9331
Canton Lake,146,OK10316,grand_id,1050
Lake Jean Neustadt,147,NA,nla17_site_id,NLA17_OK-10009
Lake Jean Neustadt,147,NA,nla22_site_id,NLA22_OK-10120
Lake Jean Neustadt,147,NA,nla12_site_id,NLA12_OK-119
Lake Jean Neustadt,147,NA,nla07_site_id,NLA06608-0856
Lake Jean Neustadt,147,NA,lmorpho_comid,19959244
Lake Jean Neustadt,147,NA,lmorpho_nla07,NLA06608-0856
Lake Jean Neustadt,147,NA,nhdplus_comid,19959244
Lake Jean Neustadt,147,NA,comid_match_lagoslakeid,396235
Lake Jean Neustadt,147,NA,poly_intersect_lagoslakeid,396235
Lake Jean Neustadt,147,NA,hylak_comid,19959244
Lake Jean Neustadt,147,NA,hylak_id,113170
Keystone,148,OK10309,nla17_site_id,NLA17_OK-10002
Keystone,148,OK10309,nla12_site_id,NLA12_OK-103
Keystone,148,OK10309,lmorpho_comid,368417
Keystone,148,OK10309,lmorpho_nla07,NLA06608-0120
Keystone,148,OK10309,nhdplus_comid,493024
Keystone,148,OK10309,gnis_id,1095117
Keystone,148,OK10309,comid_match_lagoslakeid,378906
Keystone,148,OK10309,hylak_comid,20971700
Keystone,148,OK10309,hylak_id,9328
Keystone,148,OK10309,grand_id,1048
Keystone,148,OK10309,nhdplus_comid,20971700
Cloud Southern Plains,166,NA,nla17_site_id,NLA17_KS-10001
Cloud Southern Plains,166,NA,nla12_site_id,NLA12_KS-101
Cloud Southern Plains,166,NA,lmorpho_comid,5925122
Cloud Southern Plains,166,NA,lmorpho_nla07,NLA06608-0588
Cloud Southern Plains,166,NA,nhdplus_comid,5925122
Cloud Southern Plains,166,NA,comid_match_lagoslakeid,367833
Cloud Southern Plains,166,NA,poly_intersect_lagoslakeid,367833
Cloud Southern Plains,166,NA,hylak_comid,5925122
Lake Overholser,167,OK02537,nla17_site_id,NLA17_OK-10003
Lake Overholser,167,OK02537,nla12_site_id,NLA12_OK-105
Lake Overholser,167,OK02537,nla07_site_id,NLA06608-4472
Lake Overholser,167,OK02537,lmorpho_comid,167300171
Lake Overholser,167,OK02537,lmorpho_nla07,NLA06608-4472
Lake Overholser,167,OK02537,nhdplus_comid,167300171
Lake Overholser,167,OK02537,gnis_id,1096356
Lake Overholser,167,OK02537,comid_match_lagoslakeid,389511
Lake Overholser,167,OK02537,poly_intersect_lagoslakeid,389511
Lake Overholser,167,OK02537,hylak_comid,167300171
Lake Overholser,167,OK02537,hylak_id,112917
Lake Overholser,167,OK02537,grand_id,1068
Rush Cr. Site 17 Reservoir,184,OK00157,nla17_site_id,NLA17_OK-10005
Rush Cr. Site 17 Reservoir,184,OK00157,nla12_site_id,NLA12_OK-132
Rush Cr. Site 17 Reservoir,184,OK00157,nla07_site_id,NLA06608-4382
Rush Cr. Site 17 Reservoir,184,OK00157,lmorpho_comid,19956504
Rush Cr. Site 17 Reservoir,184,OK00157,lmorpho_nla07,NLA06608-4382
Rush Cr. Site 17 Reservoir,184,OK00157,nhdplus_comid,19956504
Rush Cr. Site 17 Reservoir,184,OK00157,comid_match_lagoslakeid,399996
Rush Cr. Site 17 Reservoir,184,OK00157,poly_intersect_lagoslakeid,399996
Rush Cr. Site 17 Reservoir,184,OK00157,hylak_comid,19956504
Boulder Reservoir,186,CO00215,nla17_site_id,NLA17_CO-10002
Boulder Reservoir,186,CO00215,nla12_site_id,NLA12_CO-111
Boulder Reservoir,186,CO00215,nla07_site_id,NLA06608-1851
Boulder Reservoir,186,CO00215,lmorpho_comid,2888348
Boulder Reservoir,186,CO00215,lmorpho_nla07,NLA06608-1851
Boulder Reservoir,186,CO00215,nhdplus_comid,2888348
Boulder Reservoir,186,CO00215,gnis_id,178708
Boulder Reservoir,186,CO00215,comid_match_lagoslakeid,361292
Boulder Reservoir,186,CO00215,poly_intersect_lagoslakeid,361292
Boulder Reservoir,186,CO00215,hylak_comid,2888348
Boulder Reservoir,186,CO00215,hylak_id,112156
Boulder Reservoir,186,CO00215,grand_id,495
Bluestem Lake,190,OK02570,nla17_site_id,NLA17_OK-10004
Bluestem Lake,190,OK02570,nla12_site_id,NLA12_OK-109
Bluestem Lake,190,OK02570,nla07_site_id,NLA06608-0824
Bluestem Lake,190,OK02570,lmorpho_comid,846154
Bluestem Lake,190,OK02570,lmorpho_nla07,NLA06608-0824
Bluestem Lake,190,OK02570,nhdplus_comid,846154
Bluestem Lake,190,OK02570,gnis_id,1090304
Bluestem Lake,190,OK02570,comid_match_lagoslakeid,386238
Bluestem Lake,190,OK02570,poly_intersect_lagoslakeid,386238
Bluestem Lake,190,OK02570,hylak_comid,846154
Bluestem Lake,190,OK02570,hylak_id,112769
Bluestem Lake,190,OK02570,grand_id,1024
Wyandotte County Lake,206,KS02555,nla17_site_id,NLA17_KS-10007
Wyandotte County Lake,206,KS02555,nla12_site_id,NLA12_KS-125
Wyandotte County Lake,206,KS02555,lmorpho_comid,2254441
Wyandotte County Lake,206,KS02555,nhdplus_comid,2254441
Wyandotte County Lake,206,KS02555,gnis_id,478584
Wyandotte County Lake,206,KS02555,comid_match_lagoslakeid,125419
Wyandotte County Lake,206,KS02555,poly_intersect_lagoslakeid,125419
Wyandotte County Lake,206,KS02555,hylak_comid,2254441
Wyandotte County Lake,206,KS02555,hylak_id,112363
Wyandotte County Lake,206,KS02555,grand_id,966
Concord Pond,13,DE00044,nla17_site_id,NLA17_DE-10002
Concord Pond,13,DE00044,nla12_site_id,NLA12_DE-103
Concord Pond,13,DE00044,nla07_site_id,NLA06608-2333
Concord Pond,13,DE00044,lmorpho_comid,8390734
Concord Pond,13,DE00044,lmorpho_nla07,NLA06608-2333
Concord Pond,13,DE00044,nhdplus_comid,8390734
Concord Pond,13,DE00044,gnis_id,213824
Concord Pond,13,DE00044,comid_match_lagoslakeid,147878
Concord Pond,13,DE00044,poly_intersect_lagoslakeid,147878
Concord Pond,13,DE00044,hylak_comid,8390734
Concord Pond,13,DE00044,hylak_id,1057586
Concord Pond,13,DE00044,nhdplus_comid,9437967
Blue Lake,17,NA,nla17_site_id,NLA17_FL-10042
Blue Lake,17,NA,lmorpho_comid,71542
Blue Lake,17,NA,nhdplus_comid,71542
Blue Lake,17,NA,comid_match_lagoslakeid,200658
Blue Lake,17,NA,hylak_comid,71542
Maple Lake,46,NJ00687,nla17_site_id,NLA17_NJ-10004
Maple Lake,46,NJ00687,nla12_site_id,NLA12_NJ-131
Maple Lake,46,NJ00687,lmorpho_comid,9435755
Maple Lake,46,NJ00687,nhdplus_comid,9435755
Maple Lake,46,NJ00687,gnis_id,883938
Maple Lake,46,NJ00687,comid_match_lagoslakeid,123565
Maple Lake,46,NJ00687,poly_intersect_lagoslakeid,123565
Maple Lake,46,NJ00687,hylak_comid,9435755
Maple Lake,46,NJ00687,hylak_id,1056710
Mirror Lake,47,NJ00458,nla17_site_id,NLA17_NJ-10003
Mirror Lake,47,NJ00458,nla12_site_id,NLA12_NJ-104
Mirror Lake,47,NJ00458,nla07_site_id,NLA06608-0013
Mirror Lake,47,NJ00458,lmorpho_comid,4489294
Mirror Lake,47,NJ00458,lmorpho_nla07,NLA06608-0013
Mirror Lake,47,NJ00458,nhdplus_comid,4489312
Mirror Lake,47,NJ00458,comid_match_lagoslakeid,30086
Mirror Lake,47,NJ00458,poly_intersect_lagoslakeid,30086
Mirror Lake,47,NJ00458,hylak_comid,4489294
Mirror Lake,47,NJ00458,hylak_id,1056048
Mirror Lake,47,NJ00458,nhdplus_comid,4489294
Mirror Lake,47,NJ00458,gnis_id,878414
Mirror Lake,47,NJ00458,nhdplus_comid,4489298
Mirror Lake,47,NJ00458,lmorpho_comid,4489298
Mirror Lake,47,NJ00458,lmorpho_comid,4489312
Lake Stockwell,49,NJ00422,nla17_site_id,NLA17_NJ-10005
Lake Stockwell,49,NJ00422,nla12_site_id,NLA12_NJ-108
Lake Stockwell,49,NJ00422,lmorpho_comid,4489532
Lake Stockwell,49,NJ00422,nhdplus_comid,4489532
Lake Stockwell,49,NJ00422,comid_match_lagoslakeid,1420
Lake Stockwell,49,NJ00422,poly_intersect_lagoslakeid,1420
Lake Stockwell,49,NJ00422,hylak_comid,4489532
Spencer Lake,54,OH00619,nla17_site_id,NLA17_OH-10024
Spencer Lake,54,OH00619,nla12_site_id,NLA12_OH-136
Spencer Lake,54,OH00619,lmorpho_comid,15595957
Spencer Lake,54,OH00619,nhdplus_comid,15595957
Spencer Lake,54,OH00619,gnis_id,1070946
Spencer Lake,54,OH00619,comid_match_lagoslakeid,2414
Spencer Lake,54,OH00619,poly_intersect_lagoslakeid,2414
Spencer Lake,54,OH00619,hylak_comid,15595957
Spencer Lake,54,OH00619,hylak_id,1054666
Zepernick Lake,55,OH00637,nla17_site_id,NLA17_OH-10027
Zepernick Lake,55,OH00637,nla22_site_id,NLA22_OH-10018
Zepernick Lake,55,OH00637,lmorpho_comid,19386918
Zepernick Lake,55,OH00637,nhdplus_comid,19386918
Zepernick Lake,55,OH00637,gnis_id,1078733
Zepernick Lake,55,OH00637,comid_match_lagoslakeid,2039
Zepernick Lake,55,OH00637,hylak_comid,19386918
Fort Peck Trout pond,67,NA,nla17_site_id,NLA17_MT-10036
Fort Peck Trout pond,67,NA,nla12_site_id,NLA12_MT-161
Fort Peck Trout pond,67,NA,lmorpho_comid,12461540
Fort Peck Trout pond,67,NA,nhdplus_comid,12461540
Fort Peck Trout pond,67,NA,gnis_id,771517
Fort Peck Trout pond,67,NA,comid_match_lagoslakeid,323994
Fort Peck Trout pond,67,NA,poly_intersect_lagoslakeid,323994
Fort Peck Trout pond,67,NA,hylak_comid,12461540
Fort Peck Trout pond,67,NA,hylak_id,104407
Tschida Lake,68,ND00149,nla17_site_id,NLA17_ND-10021
Tschida Lake,68,ND00149,nla12_site_id,NLA12_ND-131
Tschida Lake,68,ND00149,lmorpho_comid,16237597
Tschida Lake,68,ND00149,nhdplus_comid,16237597
Tschida Lake,68,ND00149,gnis_id,1032544
Tschida Lake,68,ND00149,comid_match_lagoslakeid,341692
Tschida Lake,68,ND00149,poly_intersect_lagoslakeid,341692
Tschida Lake,68,ND00149,hylak_comid,16237597
Tschida Lake,68,ND00149,hylak_id,8643
Tschida Lake,68,ND00149,grand_id,798
willow creek,71,MT00577,nla17_site_id,NLA17_MT-10001
willow creek,71,MT00577,nla12_site_id,NLA12_MT-104
willow creek,71,MT00577,nla07_site_id,NLA06608-0378
willow creek,71,MT00577,lmorpho_comid,12394688
willow creek,71,MT00577,lmorpho_nla07,NLA06608-0378
