"lake_id","site_id","visit","air_temp","air_temp_units","ch4_diffusion","ch4_diffusion_units","ch4flag","ch4_r2","ch4_ebullition","ch4_ebullition_units","ch4_total","ch4_total_units","ch4_deployment_length","ch4_deployment_length_units","co2_diffusion","co2_diffusion_units","co2flag","co2_r2","co2_ebullition","co2_ebullition_units","co2_total","co2_total_units","co2_deployment_length","co2_deployment_length_units","trap_deply_date_time","trap_deply_date_time_units","chamb_deply_date_time","chamb_deply_date_time_units","precipitation","precipitation_units","wind_speed","wind_speed_units","k_co2_600","k_ch4_600","k_co2_600_units","k_ch4_600_units"
1001,"1",1,32.1549747474747,"c",40.77,"mg CH4 m-2 d-1",NA,0.976176230997244,80.36357,"mg CH4 m-2 d-1",121.13583,"mg CH4 m-2 d-1",270,"seconds",-508.51,"mg CO2 m-2 d-1",NA,0.996726961507097,2.1057,"mg CO2 m-2 d-1",-506.4058,"mg CO2 m-2 d-1",270,"seconds","2016-05-31 13:27:00","UTC",2016-05-31 13:28:00,"UTC",1.717e-06,"m",0.13,"m s-1",NA,NA,NA,NA
1001,"4",1,31.0760162790698,"c",NA,"mg CH4 m-2 d-1",NA,0.868626532247167,167.737783,"mg CH4 m-2 d-1",NA,"mg CH4 m-2 d-1",80,"seconds",-269.6,"mg CO2 m-2 d-1",NA,0.955324042073952,1.7656,"mg CO2 m-2 d-1",-267.8344,"mg CO2 m-2 d-1",300,"seconds","2016-05-31 11:25:00","UTC",2016-05-31 11:38:00,"UTC",1.717e-06,"m",0.21,"m s-1",NA,NA,NA,NA
1001,"5",1,32.2702846938775,"c",69.26,"mg CH4 m-2 d-1",NA,0.994711972492241,4.656025,"mg CH4 m-2 d-1",73.91516,"mg CH4 m-2 d-1",300,"seconds",-573.75,"mg CO2 m-2 d-1",NA,0.984968074141775,1.2574,"mg CO2 m-2 d-1",-572.4889,"mg CO2 m-2 d-1",240,"seconds","2016-05-31 13:58:00","UTC",2016-05-31 13:58:00,"UTC",1.717e-06,"m",0.14,"m s-1",NA,NA,NA,NA
1001,"6",1,32.2552235294118,"c",33.36,"mg CH4 m-2 d-1",NA,0.998590660569107,2.931731,"mg CH4 m-2 d-1",36.29331,"mg CH4 m-2 d-1",60,"seconds",-1185.13,"mg CO2 m-2 d-1",NA,0.955077007899941,1.4305,"mg CO2 m-2 d-1",-1183.7009,"mg CO2 m-2 d-1",300,"seconds","2016-05-31 14:24:00","UTC",2016-05-31 14:25:00,"UTC",1.717e-06,"m",0.14,"m s-1",NA,NA,NA,NA
1001,"7",1,31.9224520408163,"c",39.03,"mg CH4 m-2 d-1",NA,0.993233315212213,172.92952,"mg CH4 m-2 d-1",211.95804,"mg CH4 m-2 d-1",70,"seconds",-294.76,"mg CO2 m-2 d-1",NA,0.968167850818397,3.2229,"mg CO2 m-2 d-1",-291.5409,"mg CO2 m-2 d-1",180,"seconds","2016-05-31 13:07:00","UTC",2016-05-31 13:08:00,"UTC",1.717e-06,"m",0.13,"m s-1",NA,NA,NA,NA
1001,"8",1,31.5611051020408,"c",35.1,"mg CH4 m-2 d-1",NA,0.946214850785282,34.996924,"mg CH4 m-2 d-1",70.09254,"mg CH4 m-2 d-1",120,"seconds",-1623.79,"mg CO2 m-2 d-1",NA,0.904509165325947,0.7449,"mg CO2 m-2 d-1",-1623.0409,"mg CO2 m-2 d-1",180,"seconds","2016-05-31 12:04:00","UTC",2016-05-31 12:04:00,"UTC",1.717e-06,"m",0.21,"m s-1",NA,NA,NA,NA
1001,"9",1,32.2323051020408,"c",43.34,"mg CH4 m-2 d-1",NA,0.991464233733571,10.819526,"mg CH4 m-2 d-1",54.16099,"mg CH4 m-2 d-1",300,"seconds",NA,"mg CO2 m-2 d-1",NA,0.896796848466461,2.2685,"mg CO2 m-2 d-1",NA,"mg CO2 m-2 d-1",180,"seconds","2016-05-31 14:10:00","UTC",2016-05-31 14:11:00,"UTC",1.717e-06,"m",0.14,"m s-1",NA,NA,NA,NA
1001,"11",1,31.7449395348837,"c",31.11,"mg CH4 m-2 d-1",NA,0.998897517428159,0.615827,"mg CH4 m-2 d-1",31.72131,"mg CH4 m-2 d-1",300,"seconds",-645.14,"mg CO2 m-2 d-1",NA,0.969123411922592,1.4833,"mg CO2 m-2 d-1",-643.6522,"mg CO2 m-2 d-1",270,"seconds","2016-05-31 12:48:00","UTC",2016-05-31 12:51:00,"UTC",1.717e-06,"m",0.13,"m s-1",NA,NA,NA,NA
1001,"12",1,31.4448023255814,"c",13.14,"mg CH4 m-2 d-1",NA,0.994947726212611,158.653292,"mg CH4 m-2 d-1",171.79812,"mg CH4 m-2 d-1",200,"seconds",-1672.2,"mg CO2 m-2 d-1",NA,0.996997188422772,2.1082,"mg CO2 m-2 d-1",-1670.09,"mg CO2 m-2 d-1",300,"seconds","2016-05-31 11:52:00","UTC",2016-05-31 11:53:00,"UTC",1.717e-06,"m",0.21,"m s-1",NA,NA,NA,NA
1001,"13",1,32.2259525252525,"c",55.71,"mg CH4 m-2 d-1",NA,0.995674568285141,16.980845,"mg CH4 m-2 d-1",72.69493,"mg CH4 m-2 d-1",300,"seconds",-1169.46,"mg CO2 m-2 d-1",NA,0.998666029607232,1.1301,"mg CO2 m-2 d-1",-1168.3295,"mg CO2 m-2 d-1",240,"seconds","2016-05-31 13:41:00","UTC",2016-05-31 13:42:00,"UTC",1.717e-06,"m",0.14,"m s-1",NA,NA,NA,NA
1001,"14",1,32.9071,"c",29.32,"mg CH4 m-2 d-1",NA,0.999823022453935,143.684715,"mg CH4 m-2 d-1",173.00298,"mg CH4 m-2 d-1",240,"seconds",-471.66,"mg CO2 m-2 d-1",NA,0.994730172575974,2.8579,"mg CO2 m-2 d-1",-468.803,"mg CO2 m-2 d-1",240,"seconds","2016-05-31 15:14:00","UTC",2016-05-31 15:16:00,"UTC",1.717e-06,"m",0.6,"m s-1",NA,NA,NA,NA
1001,"15",1,31.6909888888889,"c",70.2,"mg CH4 m-2 d-1",NA,0.998554369205308,173.303468,"mg CH4 m-2 d-1",243.50777,"mg CH4 m-2 d-1",80,"seconds",-488.36,"mg CO2 m-2 d-1",NA,0.996947564287855,1.7155,"mg CO2 m-2 d-1",-486.6428,"mg CO2 m-2 d-1",360,"seconds","2016-05-31 13:31:00","UTC",2016-05-31 12:35:00,"UTC",1.717e-06,"m",0.13,"m s-1",NA,NA,NA,NA
1001,"16",1,32.5731897959184,"c",63.95,"mg CH4 m-2 d-1",NA,0.998874844260142,151.271386,"mg CH4 m-2 d-1",215.21675,"mg CH4 m-2 d-1",60,"seconds",-4580.47,"mg CO2 m-2 d-1",NA,0.990317719470736,2.2348,"mg CO2 m-2 d-1",-4578.2363,"mg CO2 m-2 d-1",300,"seconds","2016-05-31 14:50:00","UTC",2016-05-31 14:53:00,"UTC",1.717e-06,"m",0.58,"m s-1",NA,NA,NA,NA
1001,"17",1,33.0845683673469,"c",31.59,"mg CH4 m-2 d-1",NA,0.998625190662852,137.028193,"mg CH4 m-2 d-1",168.6216,"mg CH4 m-2 d-1",180,"seconds",-548.92,"mg CO2 m-2 d-1",NA,0.995545525643841,2.9917,"mg CO2 m-2 d-1",-545.929,"mg CO2 m-2 d-1",240,"seconds","2016-05-31 15:44:00","UTC",2016-05-31 15:45:00,"UTC",2.015e-06,"m",1,"m s-1",NA,NA,NA,NA
1001,"18",1,33.0907255102041,"c",15.01,"mg CH4 m-2 d-1",NA,0.997545480231343,4.642187,"mg CH4 m-2 d-1",19.65182,"mg CH4 m-2 d-1",240,"seconds",-200.81,"mg CO2 m-2 d-1",NA,0.974654672437427,0.7049,"mg CO2 m-2 d-1",-200.1036,"mg CO2 m-2 d-1",180,"seconds","2016-05-31 16:06:00","UTC",2016-05-31 16:06:00,"UTC",1.717e-06,"m",0.95,"m s-1",NA,NA,NA,NA
1002,"1",1,25.1078367088608,"c",58.43,"mg CH4 m-2 d-1",NA,0.99100893443369,1.642231,"mg CH4 m-2 d-1",60.07128,"mg CH4 m-2 d-1",315,"seconds",2118.33,"mg CO2 m-2 d-1",NA,0.990492957252323,0.0301,"mg CO2 m-2 d-1",2118.3575,"mg CO2 m-2 d-1",315,"seconds","2016-06-07 15:31:00","UTC",2016-06-07 15:36:00,"UTC",0.000107589,"m",5.44,"m s-1",NA,NA,NA,NA
1002,"2",1,25.0012237113402,"c",23.76,"mg CH4 m-2 d-1",NA,0.989282939056581,0.016636,"mg CH4 m-2 d-1",23.77871,"mg CH4 m-2 d-1",415,"seconds",4197.09,"mg CO2 m-2 d-1",NA,0.993247750028635,0.4851,"mg CO2 m-2 d-1",4197.5718,"mg CO2 m-2 d-1",415,"seconds","2016-06-07 15:07:00","UTC",2016-06-07 15:08:00,"UTC",5.9995e-05,"m",5.15,"m s-1",NA,NA,NA,NA
1002,"3",1,23.9740576923077,"c",29.49,"mg CH4 m-2 d-1",NA,0.999320282629954,0,"mg CH4 m-2 d-1",29.48771,"mg CH4 m-2 d-1",194,"seconds",6455.72,"mg CO2 m-2 d-1",NA,0.999445002351324,0,"mg CO2 m-2 d-1",6455.7234,"mg CO2 m-2 d-1",164,"seconds","2016-06-07 17:27:00","UTC",2016-06-07 17:28:00,"UTC",0.00022729,"m",5.66,"m s-1",NA,NA,NA,NA
1002,"4",1,24.1387911111111,"c",34.37,"mg CH4 m-2 d-1",NA,0.991073737943251,0.860103,"mg CH4 m-2 d-1",35.23127,"mg CH4 m-2 d-1",120,"seconds",5950.82,"mg CO2 m-2 d-1",NA,0.994013180304463,0.0158,"mg CO2 m-2 d-1",5950.8399,"mg CO2 m-2 d-1",120,"seconds","2016-06-07 16:46:00","UTC",2016-06-07 16:49:00,"UTC",0.00022729,"m",5.66,"m s-1",NA,NA,NA,NA
1002,"5",1,24.8549244186047,"c",16.34,"mg CH4 m-2 d-1",NA,0.947058845417898,0,"mg CH4 m-2 d-1",16.34152,"mg CH4 m-2 d-1",140,"seconds",3981.06,"mg CO2 m-2 d-1",NA,0.952508092744662,0,"mg CO2 m-2 d-1",3981.0577,"mg CO2 m-2 d-1",140,"seconds","2016-06-07 15:58:00","UTC",2016-06-07 15:59:00,"UTC",0.000199246,"m",5.34,"m s-1",NA,NA,NA,NA
1002,"6",1,24.0470189655172,"c",19.71,"mg CH4 m-2 d-1",NA,0.997098862104552,0.974748,"mg CH4 m-2 d-1",20.68343,"mg CH4 m-2 d-1",180,"seconds",4107.79,"mg CO2 m-2 d-1",NA,0.998622287744056,0.0924,"mg CO2 m-2 d-1",4107.8842,"mg CO2 m-2 d-1",180,"seconds","2016-06-07 17:04:00","UTC",2016-06-07 17:06:00,"UTC",0.00022729,"m",5.66,"m s-1",NA,NA,NA,NA
