"variable","definition"
"lake_id","Unique identifier for each waterbody"
"visit","First (1) or second (2) site visit"
"ch4_ebullition_lake","lakewide areal methane ebullition flux estimated using survey site weights"
"ch4_ebullition_lake_units","units for ch4_ebullition_lake_units"
"ch4_diffusion_lake","lakewide areal methane diffusion flux estimated using survey site weights"
"ch4_diffusion_lake_units","units for ch4_diffusion_lake"
"ch4_total_lake","lakewide total methane flux estimated using survey site weights"
"ch4_total_lake_units","units for ch4_total_lake"
"co2_ebullition_lake","lakewide areal carbon dioxide ebullition flux estimated using survey site weights"
"co2_ebullition_lake_units","units for co2_ebullition_lake"
"co2_diffusion_lake","lakewide areal carbon dioxide diffuion flux estimated using survey site weights"
"co2_diffusion_lake_units","units for co2_diffusion_lake"
"co2_total_lake","lakewide areal total carbon dioxide flux estimated using survey site weights"
"co2_total_lake_units","units for co2_total_lake_units"
"ch4_ebullition_std_error_lake","standard error of ch4_ebullition_lake"
"ch4_diffusion_std_error_lake","standard error of ch4_diffusion_lake"
"ch4_total_std_error_lake","standard error of ch4_total_lake"
"co2_ebullition_std_error_lake","standard error of co2_ebullition_lake"
"co2_diffusion_std_error_lake","standard error of co2_diffusion_lake"
"co2_total_std_error_lake","standard error of co2_total_lake"
"ch4_ebullition_margin_of_error_lake","The average half-width of the 95% confidence interval of the lake-scale ch4 ebullition rate estimate. See Michael Dumelle, Tom Kincaid, Anthony R. Olsen, Marc Weber (2023). spsurvey: Spatial Sampling Design and Analysis in R. Journal of Statistical Software, 105(3), 1-29. doi:10.18637/jss.v105.i03"
"ch4_diffusion_margin_of_error_lake","The average half-width of the 95% confidence interval of the lake-scale ch4 diffusion rate estimate. See Michael Dumelle, Tom Kincaid, Anthony R. Olsen, Marc Weber (2023). spsurvey: Spatial Sampling Design and Analysis in R. Journal of Statistical Software, 105(3), 1-29. doi:10.18637/jss.v105.i03"
"ch4_total_margin_of_error_lake","The average half-width of the 95% confidence interval of the lake-scale total ch4 emission rate estimate. See Michael Dumelle, Tom Kincaid, Anthony R. Olsen, Marc Weber (2023). spsurvey: Spatial Sampling Design and Analysis in R. Journal of Statistical Software, 105(3), 1-29. doi:10.18637/jss.v105.i03"
"co2_ebullition_margin_of_error_lake","The average half-width of the 95% confidence interval of the lake-scale co2 ebullition rate estimate. See Michael Dumelle, Tom Kincaid, Anthony R. Olsen, Marc Weber (2023). spsurvey: Spatial Sampling Design and Analysis in R. Journal of Statistical Software, 105(3), 1-29. doi:10.18637/jss.v105.i03"
"co2_diffusion_margin_of_error_lake","The average half-width of the 95% confidence interval of the lake-scale co2 diffusion rate estimate. See Michael Dumelle, Tom Kincaid, Anthony R. Olsen, Marc Weber (2023). spsurvey: Spatial Sampling Design and Analysis in R. Journal of Statistical Software, 105(3), 1-29. doi:10.18637/jss.v105.i03"
"co2_total_margin_of_error_lake","The average half-width of the 95% confidence interval of the lake-scale total co2 emission rate estimate. See Michael Dumelle, Tom Kincaid, Anthony R. Olsen, Marc Weber (2023). spsurvey: Spatial Sampling Design and Analysis in R. Journal of Statistical Software, 105(3), 1-29. doi:10.18637/jss.v105.i03"
"ch4_ebullition_lcb95pct_lake","lower bound 95 percent confidence interval for ch4_ebullition_lake"
"ch4_diffusion_lcb95pct_lake","lower bound 95 percent confidence interval for ch4_diffusion_lake"
"ch4_total_lcb95pct_lake","lower bound 95 percent confidence interval for ch4_total_lake"
"co2_ebullition_lcb95pct_lake","lower bound 95 percent confidence interval for co2_ebullition_lake"
"co2_diffusion_lcb95pct_lake","lower bound 95 percent confidence interval for co2_diffusion_lake"
"co2_total_lcb95pct_lake","lower bound 95 percent confidence interval for co2_total_lake"
"ch4_ebullition_ucb95pct_lake","upper bound 95 percent confidence interval for ch4_ebullition_lake"
"ch4_diffusion_ucb95pct_lake","upper bound 95 percent confidence interval for ch4_diffusion_lake"
"ch4_total_ucb95pct_lake","upper bound 95 percent confidence interval for ch4_total_lake"
"co2_ebullition_ucb95pct_lake","upper bound 95 percent confidence interval for co2_ebullition_lake"
"co2_diffusion_ucb95pct_lake","upper bound 95 percent confidence interval for co2_diffusion_lake"
"co2_total_ucb95pct_lake","upper bound 95 percent confidence interval for co2_total_lake"
"buoyf","buoyancy frequency at index site"
"buoyf_units","units for buoyf"
"thermdep2","depth of the thermocline, listed as NA if there was no density gradient >= 0.1 kg m-3 m-1"
"thermdep2_units","units for thermdep2"
