"lake_id","site_id","visit","sample_depth","sample_date","temp","do","sp_cond","ph","chla_sonde","phycocyanin_sonde","turbidity","do_flag","sp_cond_flag","ph_flag","chla_sonde_flag","turbidity_flag","do_comment","sp_cond_comment","ph_comment","chla_sonde_comment","turbidity_comment","sample_depth_units","temp_units","do_units","sp_cond_units","chla_sonde_units","phycocyanin_units","phycocyanin_sonde_flag","phycocyanin_sonde_comment","do_sat","turbidity_units"
"3","20",1,0.1,2022-09-15,29.04,8.46,148.5,8.58,25.63,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"3","20",1,1,2022-09-15,28.44,8.26,144,8.42,40.65,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"3","20",1,2,2022-09-15,27.76,5.48,144.6,7.76,38.16,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"3","20",1,3,2022-09-15,27.73,5.02,144.7,7.5,38.85,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"3","20",1,4,2022-09-15,27.68,4.93,144.8,7.4,36.12,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"3","20",1,5,2022-09-15,27.63,4.68,145,7.34,35.69,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"3","20",1,6,2022-09-15,27.59,4.64,145,7.32,32.71,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"3","20",1,7,2022-09-15,27.57,4.56,145.1,7.29,34.64,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"4","3",1,0.1,2023-06-08,28.59,9.04,55.1,8.91,11.14,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"4","3",1,1,2023-06-08,28.59,9.21,50.2,8.71,16.84,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"4","3",1,2,2023-06-08,28.55,9.08,49.9,8.64,21.13,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"4","3",1,3,2023-06-08,27.62,7.17,48.5,8.31,27.73,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"4","3",1,4,2023-06-08,25.99,0.08,45.1,7.05,20.24,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"4","3",1,5,2023-06-08,23.43,0,61,6.79,10.71,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"4","3",1,6,2023-06-08,22.15,0,63.9,6.63,7.66,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,0.1,2022-09-12,28.72,7.61,92.3,7.59,3.93,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,0.5,2022-09-12,28.89,7.58,88.9,7.63,4.14,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,1,2022-09-12,28.79,7.62,89,7.65,4.49,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,1.5,2022-09-12,28.85,7.58,88.9,7.64,4.42,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,2,2022-09-12,28.86,7.63,88.9,7.63,4.84,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,2.5,2022-09-12,28.89,7.61,88.8,7.62,4.95,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,3,2022-09-12,28.88,7.58,88.8,7.62,4.97,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,3.5,2022-09-12,28.87,7.6,88.8,7.61,5.15,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,4,2022-09-12,28.87,7.61,88.8,7.61,5.01,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,4.5,2022-09-12,28.89,7.6,88.8,7.6,5.12,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,5,2022-09-12,28.89,7.58,88.7,7.6,5.04,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,5.5,2022-09-12,28.89,7.51,88.7,7.6,4.88,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,6,2022-09-12,28.87,7.56,88.7,7.59,4.92,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,6.5,2022-09-12,28.83,6.99,88.7,7.54,5.48,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,7,2022-09-12,28.23,4.07,88.7,7.28,5.7,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
"11","3",1,7.5,2022-09-12,25.95,0.33,87,7.02,9.97,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","c","mg_l","us_cm","ug_l","ug_l",NA,NA,NA,NA
