"lake_id","site_id","visit","name","value","flags","comment","sample_depth","units","mdl"
1001,"1",1,"chla_sonde",7.3,"I",NA,"deep","ug_l",NA
1001,"1",1,"chla_sonde",10.3,NA,NA,"shallow","ug_l",NA
1001,"1",1,"do",1.4,"I",NA,"deep","mg_l",NA
1001,"1",1,"do",17.3,NA,NA,"shallow","mg_l",NA
1001,"1",1,"ph",7.67,"I",NA,"deep","ph",NA
1001,"1",1,"ph",8.88,NA,NA,"shallow","ph",NA
1001,"1",1,"sp_cond",475,"I",NA,"deep","us_cm",NA
1001,"1",1,"sp_cond",399,NA,NA,"shallow","us_cm",NA
1001,"1",1,"temp",16.8,"I",NA,"deep","c",NA
1001,"1",1,"temp",26.9,NA,NA,"shallow","c",NA
1001,"1",1,"turbidity",3.5,"I",NA,"deep","ntu",NA
1001,"1",1,"turbidity",4.3,"1",NA,"shallow","ntu",NA
1001,"4",1,"chla_sonde",6.4,"I",NA,"deep","ug_l",NA
1001,"4",1,"chla_sonde",20.7,NA,NA,"shallow","ug_l",NA
1001,"4",1,"do",0.6,"I",NA,"deep","mg_l",NA
1001,"4",1,"do",16.9,NA,NA,"shallow","mg_l",NA
1001,"4",1,"ph",7.66,"I",NA,"deep","ph",NA
1001,"4",1,"ph",8.83,NA,NA,"shallow","ph",NA
1001,"4",1,"sp_cond",484,"I",NA,"deep","us_cm",NA
1001,"4",1,"sp_cond",398,NA,NA,"shallow","us_cm",NA
1001,"4",1,"temp",16.1,"I",NA,"deep","c",NA
1001,"4",1,"temp",26,NA,NA,"shallow","c",NA
1001,"4",1,"turbidity",3.1,"I",NA,"deep","ntu",NA
1001,"4",1,"turbidity",4.4,"1",NA,"shallow","ntu",NA
1001,"5",1,"chla_sonde",10.6,"I",NA,"deep","ug_l",NA
1001,"5",1,"chla_sonde",13.7,NA,NA,"shallow","ug_l",NA
1001,"5",1,"do",4.5,"I",NA,"deep","mg_l",NA
1001,"5",1,"do",17.1,NA,NA,"shallow","mg_l",NA
1001,"5",1,"ph",7.83,"I",NA,"deep","ph",NA
