"lake_id","name","value","units"
3,"nla17_site_id","NLA17_TX-10007",NA
3,"nla12_site_id","NLA12_TX-113",NA
3,"nla07_site_id","NLA06608-1560",NA
3,"nhdplus_comid","1010832",NA
3,"gnis_id","1375468",NA
3,"lagoslakeid","405739",NA
3,"hylak_id","9462",NA
3,"grand_id","1186",NA
3,"nhdplus_comid","1010928",NA
4,"nla17_site_id","NLA17_LA-10002",NA
4,"nla12_site_id","NLA12_LA-105",NA
4,"nla07_site_id","NLA06608-2823",NA
4,"nhdplus_comid","19918180",NA
4,"gnis_id","554093",NA
4,"lagoslakeid","405745",NA
4,"hylak_id","113773",NA
4,"grand_id","1265",NA
4,"nid_id","LA00031",NA
11,"nla17_site_id","NLA17_TX-10010",NA
11,"nla12_site_id","NLA12_TX-137",NA
11,"nla07_site_id","NLA06608-TX:19",NA
11,"nhdplus_comid","4452402",NA
11,"gnis_id","1855387",NA
11,"lagoslakeid","415369",NA
11,"hylak_id","113707",NA
11,"grand_id","1241",NA
11,"nid_id","TX00583",NA
18,"nla17_site_id","NLA17_LA-10006",NA
18,"nla12_site_id","NLA12_LA-152",NA
18,"nhdplus_comid","15138463",NA
18,"gnis_id","556751",NA
18,"lagoslakeid","303903",NA
18,"hylak_id","113825",NA
18,"nid_id","LA00046",NA
99,"nla17_site_id","NLA17_AR-10002",NA
99,"nla22_site_id","NES22-10107",NA
99,"nla12_site_id","NLA12_AR-103",NA
99,"nla07_site_id","NLA06608-1204",NA
99,"nhdplus_comid","167794922",NA
99,"lagoslakeid","292666",NA
99,"hylak_id","9387",NA
99,"grand_id","1116",NA
99,"nid_id","AR00534",NA
100,"nla17_site_id","NLA17_MO-10005",NA
100,"nla12_site_id","NLA12_MO-104",NA
100,"nhdplus_comid","729879",NA
100,"lagoslakeid","28694",NA
100,"hylak_id","1058745",NA
100,"nid_id","MO30314",NA
136,"nla17_site_id","NLA17_MO-10006",NA
136,"nla12_site_id","NLA12_MO-108",NA
136,"nhdplus_comid","7557711",NA
136,"gnis_id","763685",NA
136,"lagoslakeid","54020",NA
136,"hylak_id","1059628",NA
146,"nla17_site_id","NLA17_OK-10007",NA
146,"nla12_site_id","NLA12_OK-106",NA
146,"nla07_site_id","NLA06608-4056",NA
146,"nhdplus_comid","389774",NA
146,"gnis_id","1751417",NA
146,"lagoslakeid","390029",NA
146,"hylak_id","9331",NA
146,"grand_id","1050",NA
146,"nid_id","OK10316",NA
147,"nla17_site_id","NLA17_OK-10009",NA
147,"nla22_site_id","NLA22_OK-10120",NA
147,"nla12_site_id","NLA12_OK-119",NA
147,"nla07_site_id","NLA06608-0856",NA
147,"nhdplus_comid","19959244",NA
147,"lagoslakeid","396235",NA
147,"hylak_id","113170",NA
148,"nla17_site_id","NLA17_OK-10002",NA
148,"nla12_site_id","NLA12_OK-103",NA
148,"nhdplus_comid","493024",NA
148,"gnis_id","1095117",NA
148,"lagoslakeid","378906",NA
148,"hylak_id","9328",NA
148,"grand_id","1048",NA
148,"nid_id","OK10309",NA
148,"nhdplus_comid","20971700",NA
166,"nla17_site_id","NLA17_KS-10001",NA
166,"nla12_site_id","NLA12_KS-101",NA
166,"nhdplus_comid","5925122",NA
166,"lagoslakeid","367833",NA
167,"nla17_site_id","NLA17_OK-10003",NA
167,"nla12_site_id","NLA12_OK-105",NA
167,"nla07_site_id","NLA06608-4472",NA
167,"nhdplus_comid","167300171",NA
167,"gnis_id","1096356",NA
167,"lagoslakeid","389511",NA
167,"hylak_id","112917",NA
167,"grand_id","1068",NA
167,"nid_id","OK02537",NA
184,"nla17_site_id","NLA17_OK-10005",NA
184,"nla12_site_id","NLA12_OK-132",NA
184,"nla07_site_id","NLA06608-4382",NA
184,"nhdplus_comid","19956504",NA
184,"lagoslakeid","399996",NA
184,"nid_id","OK00157",NA
186,"nla17_site_id","NLA17_CO-10002",NA
186,"nla12_site_id","NLA12_CO-111",NA
186,"nla07_site_id","NLA06608-1851",NA
186,"nhdplus_comid","2888348",NA
186,"gnis_id","178708",NA
186,"lagoslakeid","361292",NA
186,"hylak_id","112156",NA
186,"grand_id","495",NA
186,"nid_id","CO00215",NA
190,"nla17_site_id","NLA17_OK-10004",NA
190,"nla12_site_id","NLA12_OK-109",NA
190,"nla07_site_id","NLA06608-0824",NA
190,"nhdplus_comid","846154",NA
190,"gnis_id","1090304",NA
190,"lagoslakeid","386238",NA
190,"hylak_id","112769",NA
190,"grand_id","1024",NA
190,"nid_id","OK02570",NA
206,"nla17_site_id","NLA17_KS-10007",NA
206,"nla12_site_id","NLA12_KS-125",NA
206,"nhdplus_comid","2254441",NA
206,"gnis_id","478584",NA
206,"lagoslakeid","125419",NA
206,"hylak_id","112363",NA
206,"grand_id","966",NA
206,"nid_id","KS02555",NA
13,"nla17_site_id","NLA17_DE-10002",NA
13,"nla12_site_id","NLA12_DE-103",NA
13,"nla07_site_id","NLA06608-2333",NA
13,"nhdplus_comid","8390734",NA
13,"gnis_id","213824",NA
13,"lagoslakeid","147878",NA
13,"hylak_id","1057586",NA
13,"nid_id","DE00044",NA
13,"nhdplus_comid","9437967",NA
17,"nla17_site_id","NLA17_FL-10042",NA
17,"nhdplus_comid","71542",NA
17,"lagoslakeid","200658",NA
46,"nla17_site_id","NLA17_NJ-10004",NA
46,"nla12_site_id","NLA12_NJ-131",NA
46,"nhdplus_comid","9435755",NA
46,"gnis_id","883938",NA
46,"lagoslakeid","123565",NA
46,"hylak_id","1056710",NA
46,"nid_id","NJ00687",NA
47,"nla17_site_id","NLA17_NJ-10003",NA
47,"nla12_site_id","NLA12_NJ-104",NA
47,"nla07_site_id","NLA06608-0013",NA
47,"nhdplus_comid","4489312",NA
47,"lagoslakeid","30086",NA
47,"hylak_id","1056048",NA
47,"nid_id","NJ00458",NA
47,"nhdplus_comid","4489294",NA
47,"gnis_id","878414",NA
47,"nhdplus_comid","4489298",NA
49,"nla17_site_id","NLA17_NJ-10005",NA
49,"nla12_site_id","NLA12_NJ-108",NA
49,"nhdplus_comid","4489532",NA
49,"lagoslakeid","1420",NA
49,"nid_id","NJ00422",NA
54,"nla17_site_id","NLA17_OH-10024",NA
54,"nla12_site_id","NLA12_OH-136",NA
54,"nhdplus_comid","15595957",NA
54,"gnis_id","1070946",NA
54,"lagoslakeid","2414",NA
54,"hylak_id","1054666",NA
54,"nid_id","OH00619",NA
55,"nla17_site_id","NLA17_OH-10027",NA
55,"nla22_site_id","NLA22_OH-10018",NA
55,"nhdplus_comid","19386918",NA
55,"gnis_id","1078733",NA
55,"lagoslakeid","2039",NA
55,"nid_id","OH00637",NA
67,"nla17_site_id","NLA17_MT-10036",NA
67,"nla12_site_id","NLA12_MT-161",NA
67,"nhdplus_comid","12461540",NA
67,"gnis_id","771517",NA
67,"lagoslakeid","323994",NA
67,"hylak_id","104407",NA
68,"nla17_site_id","NLA17_ND-10021",NA
68,"nla12_site_id","NLA12_ND-131",NA
68,"nhdplus_comid","16237597",NA
68,"gnis_id","1032544",NA
