"variable","definition"
"nhdplus_comid","NDHPlusV2 waterbody comid"
"hylak_id","HydroLAKES unique id"
"nla07_site_id","Unique ID assigned to lakes included in EPA's 2007 National Lakes Assessment."
"nla12_site_id","Unique ID assigned to lakes included in EPA's 2012 National Lakes Assessment."
"nla22_site_id","Unique ID assigned to lakes included in EPA's 2022 National Lakes Assessment."
"gnis_id","A permanent, unique number assigned by the Geographic Names Information System (GNIS) to a geographic feature name for the sole purpose of uniquely identifying that name application as a record in any information system database, dataset, file, or document"
"lagoslakeid","Unique ID assigned to lakes included in the LAGOS dataset (https://lagoslakes.org/)."
"grand_id","Unique ID assigned to lakes included in the Global Reservoir and Dam Database v1.3."
"nid_id","Unique ID assigned to dams in the USACE National Inventory of Dams dataset."
"nla17_site_id","Unique ID assigned to lakes included in EPA's 2017 National Lakes Assessment."
"surface_area","Waterbody surface area"
"shoreline_length","Length of waterbody shoreline"
"shoreline_development","Waterbody perimeter (m) to area (m2) ratio. Area is square-rooted to account for size dependency."
"max_width","Maximum lake width is defined as the maximum shore to shore distance that is perpendicular to the maximum lake length."
"mean_width","Lake surface area divided by fetch"
"max_length","Maximum lake length is defined as the longest open water distance of a lake."
"circularity","Circularity compares the area of the lake (m2) with the area of the minimum boundary circle (MBC; m2) around it. It differentiates between circular (value approaches 1) and elongated lakes (value approaches 0)."
"mean_depth","Mean lake depth"
"max_depth","Maximum lake depth"
"volume","Volume of lake"
"dynamic_ratio","Surface area to mean depth ratio of the lake. Low values indicate lakes that are bowlshaped, whereas high values are associated to dish-like lakes."
"littoral_fraction","Relative proportion of lake surface area that is shallower than 2.5 m"
"lacustrine","percent of reservoir classified as a lacustrine system in the National Wetlands Inventory"
"palustrine","percent of reservoir classified as a palustrine system in the National Wetlands Inventory"
"riverine","percent of reservoir classified as a riverine system in the National Wetlands Inventory"
"limnetic","percent of reservoir classified as a limnetic subsystem of lacustrine in the National Wetlands Inventory"
"littoral","percent of reservoir classified as a littoral subsystem of lacustrine in the National Wetlands Inventory"
"intermittent","percent of reservoir classified as intermittent subsystem of riverine in the National Wetlands Inventory"
"lower_perennial","percent of reservoir classified as lower perennial subsystem of riverine in the National Wetlands Inventory"
"upper_perennial","percent of reservoir classified as upper perennial subsystem of riverine in the National Wetlands Inventory"
"emergent","percent of reservoir classified as emergent class, can come from combination of lacustrine, palustrine, and riverine systems, in the National Wetlands Inventory"
"aquatic_bed","percent of reservoir classified as aquatic bed, can come from combination of lacustrine, palustrine, and riverine systems, in the National Wetlands Inventory"
"year_completed","Year dam was completed"
"e_i","Proportion of water entering a lake that leaves through evaporation, estimated from water isotope data"
"sd_e_i","Standard deviation of repeated estimates of the proportion of water entering a lake that leaves through evaporation"
"residence_time","Lake water residence time estimated from water isotope data"
"sd_residence_time","Standard deviation of repeated estimates of lake water residence time"
"residence_time_ei_repeat_visits","Number of time retention time and e_i was estimated"
"e_i_type","Hydrologic regime based on e_i. e_i < 0.2 is run-of-river. e_i > 0.2 is storage reservoir"
"wgt","Weight for probabilistic survey design. If no value provided the lake was hand-picked"
"ag_eco9","Abbreviation for the 9 aggregated ecoregions used for the SuRGE survey design"
"ag_eco9_nm","Full name of the 9 aggregated ecoregions used for the SuRGE survey design"
"depth_cat","Depth category used for the SuRGE survey design"
"chla_cat","Chlorophyll a category used for the SuRGE survery design"
"study","Survey effort the reservoir was included in. See data paper Figure 1."
"chl_predicted_sample_month_visit1","predicted chlorophyll a concentration from the same month and year that emissions were collected during the first site visit if available, otherwise mean predicted chlorophyll from 2018-2020 during the same month emissions were collected,  predictions are from LAGOS-US LANDSAT (1984-2020)"
"chl_predicted_sample_month_visit2","predicted chlorophyll a concentration from the same month and year that emissions were collected during the second site visit  if available, otherwise mean predicted chlorophyll from 2018-2020 during the same month emissions were collected,  predictions are from LAGOS-US LANDSAT (1984-2020)"
"doc_predicted_sample_month_visit1","predicted dissolved organic carbon concentration from the same month and year that emissions were collected during the first site visit if available, otherwise mean predicted dissolved organic carbon concentration from 2018-2020 during the same month emissions were collected, predictions are from LAGOS-US LANDSAT (1984-2020)"
"doc_predicted_sample_month_visit2","predicted dissolved organic carbon concentration from the same month and year that emissions were collected during the second site visit if available, otherwise mean predicted dissolved organic carbon concentration from 2018-2020 during the same month emissions were collected, predictions are from LAGOS-US LANDSAT (1984-2020)"
"chl_predicted_sample_season_visit1","mean predicted chlorophyll a concentration during June to September of the three years leading up to the emission sampling year as well as the sampling year of the first visit when available, predictions are from LAGOS-US LANDSAT (1984-2020)"
"chl_predicted_sample_season_visit2","mean predicted chlorophyll a concentration during June to September of the three years leading up to the emission sampling year as well as the sampling year of the second visit when available, predictions are from LAGOS-US LANDSAT (1984-2020)"
"doc_predicted_sample_season_visit1","mean predicted dissolved organic carbon concentration during June to September of the three years leading up to the emission sampling year as well as the sampling year of the first visit,  when available, predictions are from LAGOS-US LANDSAT (1984-2020)"
"doc_predicted_sample_season_visit2","mean predicted dissolved organic carbon concentration during June to September of the three years leading up to the emission sampling year as well as the sampling year of the second visit, when available, predictions are from LAGOS-US LANDSAT (1984-2020)"
